pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
Kepler-1636 b,3.23,,0.3103448275862069,1.217,5797.0,0.0,248.0,0.0,0.0,0.0,43.80671505347891,0.9879689107023272,0.4251349,0.9872785202162949,0.02644388830847804,10.458082862068967
TRAPPIST-1 f,1.045,1.039,0.9115978221415607,0.373,2566.0,0.01007,217.7,0.7482264105965557,0.44112737146363756,0.0,4.357533751040198,0.8897183393112479,2.3786864,0.5411897187078152,0.026164895421768322,1.0402845542517238
GJ 682 b,1.93,,0.6098003629764065,0.3125,3028.0,0.08,281.93,0.5667913091145789,0.30241278807446936,0.012341721429715664,18.363193681546907,0.9669535438823785,1.6450341,0.6989221628713834,0.026028183269653747,4.383889568058075
TRAPPIST-1 d,0.788,0.388,0.7925197822141561,1.115,2566.0,0.00837,286.2,0.787407575820232,0.7773021363546581,0.0,1.6243416239150013,0.7738959149707664,2.2907805,0.5530596758207726,0.02597521424848997,0.38778299807398336
HD 238090 b,2.52,,0.4301270417422868,8.1,3933.0,0.3,469.6,0.36430345514671686,0.09599289085387727,0.036517604316925655,28.832810577734715,2.2469740207386276e-65,0.8790838,0.8650226532376286,0.025920562560593472,6.88332649001815
Proxima Cen d,0.692,,0.7822141560798548,1.814,2900.0,0.0,282.0,0.0,0.0,0.0,1.085756814976444,0.7254078780034994,2.0372262,0.6062993015114487,0.025896567763280157,0.2592053461488203
HIP 38594 b,2.77,,0.3793103448275862,1.3216,4086.3,0.17,308.29,0.5178905794460813,0.478480726866654,0.04061281188223871,33.76934241377408,0.9842932481919737,0.6881908,0.9046592542276761,0.02585036110213335,8.061836655172414
TOI-2443 b,2.363,4.8,0.3629764065335753,13.2931,4375.0,0.301,519.0,0.3317064626586106,0.05726069155480886,0.04832505209167246,20.061258358669736,2.723634123164167e-222,0.6892206,0.8799741388327689,0.025247440794068838,4.789272648638838
Kepler-62 f,1.41,35.0,2.9807262832022547,0.5,4925.0,0.0,208.0,0.0,0.0,0.0,35.0,0.9980654584419072,1.563616,0.671238860971339,0.024898980310459253,8.355634512324507
Kepler-1630 b,2.19,,0.515426497277677,0.26,4736.0,0.0,182.0,0.0,0.0,0.0,22.677109389951777,0.9458915841617972,0.8883085,0.8124738646813782,0.024675672884845436,5.4137610816696915
TOI-5713 b,1.77,,0.6805807622504537,2.2554,3225.0,0.24,347.2,0.5069718441891561,0.33943323251824303,0.017604316931131073,15.808405857752895,0.7460946883698533,1.3770802,0.7030280310159291,0.024659219863204837,3.7739789019963705
