pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"COCONUTS-2 b",12.57647635,2.38371305250000e+03,6.580000,0.0000,3552.00,,493.00
"Kepler-703 b",8.20000000,,0.509000,373.1080,6185.00,0.000000,1038.00
"Kepler-616 c",3.41000000,,1.590000,6.8600,5753.00,0.000000,413.00
"TOI-1533 c",7.50000000,3.66000000000000e+01,0.480000,25.9007,5146.00,0.000000,628.00
"TOI-1408 b",25.00000000,5.93000000000000e+02,0.180000,465.1790,6117.00,0.002300,1293.00
"OGLE-2006-BLG-284L A b",14.30000000,1.44000000000000e+02,0.271000,,,,
"TOI-5502 b",4.12873780,,1.240000,95.1955,6088.71,,870.00
"HIP 91258 b",13.70000000,,0.740000,166.6086,5519.00,0.020000,1024.97
"CD Cet b",1.82000000,,3.600000,8.6000,3130.00,,464.00
"Kepler-1322 b",1.61000000,,4.240000,2651.4240,5488.00,0.000000,1666.00
"HAT-P-16 b",14.68376472,1.34156043000000e+03,2.479989,1597.5900,6140.00,0.046200,1566.00
"Kepler-1999 b",3.29000000,,1.670000,26.1700,4406.00,0.000000,577.00
"Kepler-1285 b",0.97000000,,5.240000,181.5910,6170.00,0.000000,874.00
"TOI-3688 A b",13.08088048,3.11471838860000e+02,0.760000,924.3000,5950.00,0.000000,1534.00
"HD 5278 c",4.49000000,,1.120000,32.6706,6203.00,0.070000,664.95
"Kepler-1592 b",1.54000000,,4.500000,1918.3400,6213.00,0.000000,1202.00
"HD 12484 b",13.20000000,,2.260000,11.9305,5920.00,0.070000,524.30
"Kepler-1003 b",1.78000000,,3.720000,814.9250,6109.00,0.000000,1157.00
"Kepler-213 b",1.62000000,,4.210000,833.4690,5696.00,0.000000,1326.00
"Kepler-305 b",3.60000000,1.05000000000000e+01,1.240000,112.9140,5080.00,0.005000,836.00
"GJ 536 b",2.41000000,,2.500000,9.9000,3641.00,0.000000,451.00
