pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
Kepler-681 b,3.08,,0.33030852994555354,14.151,5021.0,0.0,489.0,0.0,0.0,0.0,40.42597917482252,3.202715462231564e-257,0.009966281706879673
GJ 667 C e,1.45,,0.883847549909256,0.3022,3350.0,0.02,,0.7501193534759295,0.384618015618442,0.0209435272746681,11.286777880287813,0.950013737479315,0.009965800673732308
Kepler-551 b,2.73,,0.38656987295825773,14.386,4286.0,0.0,483.0,0.0,0.0,0.0,32.94614117139229,3.0710133740792513e-267,0.009958494247907554
Kepler-732 b,2.18,,0.5190562613430127,8.559,3631.0,0.0,407.0,0.0,0.0,0.0,22.525400652961082,1.8014985946714997e-75,0.009956337935934782
WASP-120 b,15.58048317,1541.4755,0.42361288566243194,1818.5489,6450.0,0.057,1749.0,0.12757555943277749,0.00029696025849924916,0.10375594379441054,6711.205482602707,0.0,0.009952027107970149
HATS-49 b,8.574885,112.19399,0.17894736842105263,80.45,4405.0,0.071,834.8,0.2198004887156597,0.008363931017942576,0.049126462574129226,472.6055727685932,0.0,0.009944342214799149
Kepler-16 b,8.4493,105.833,0.17495462794918332,0.2517,4450.0,0.0069,205.9,0.4188984992942772,0.20606583230926825,0.05032857829780247,442.05492712375,0.9620085908322982,0.00993798214402543
Kepler-1175 b,2.99,,0.3448275862068966,12.938,5453.0,0.0,515.0,0.0,0.0,0.0,38.610388929770465,1.4399413596963514e-208,0.009936280312949866
TOI-3688 A b,13.08088048,311.47183886,0.13793103448275862,924.3,5950.0,0.0,1534.0,0.0,0.0,0.0,1293.1876109808495,0.0,0.009929228440026576
HD 23472 d,0.75,0.55,1.3611615245009074,117.0,4684.0,0.07,909.0,0.33540768296000295,0.008148894925594289,0.05657958006089966,2.4053709632181377,0.0,0.009905460287579495
Kepler-277 c,3.36,64.2,1.4156079854809438,83.898,5946.0,0.0,778.0,0.0,0.0,0.0,224.93106798570346,0.0,0.009896956112407033
Kepler-172 c,2.86,,0.36479128856624315,227.225,5526.0,0.0,970.0,0.0,0.0,0.0,35.74630587748713,0.0,0.009894721024944113
Kepler-859 b,3.09,,0.33030852994555354,14.897,5020.0,0.0,528.0,0.0,0.0,0.0,40.8210185358893,1.109274067645163e-289,0.009884100915598514
Kepler-1494 b,3.07,,0.33212341197822143,9.113,5659.0,0.0,415.0,0.0,0.0,0.0,40.25346096141755,1.265176893220121e-88,0.0098717659298346
